,NAME,ID,MONTH,YEAR,Wind_Speed,DELV24,PER,SHRD,POT,PC2
350,MITC,AL131998,10,1998,30,15,9999,5.6,-124,-88
351,MITC,AL131998,10,1998,30,15,0,3.6,-124,-139
352,MITC,AL131998,10,1998,35,15,5,3.6,-111,-108
353,MITC,AL131998,10,1998,40,15,10,6.4,-109,-40
354,MITC,AL131998,10,1998,45,20,10,14.2,-106,-44
355,MITC,AL131998,10,1998,45,30,5,15.3,-108,1
356,MITC,AL131998,10,1998,50,40,5,10,-96,-45
357,MITC,AL131998,10,1998,55,45,10,4.8,-88,-75
358,MITC,AL131998,10,1998,65,40,15,2.7,-83,-95
359,MITC,AL131998,10,1998,75,40,20,2.9,-75,-162
360,MITC,AL131998,10,1998,90,35,25,4,-58,-178
361,MITC,AL131998,10,1998,100,30,25,5.3,-47,-134
362,MITC,AL131998,10,1998,105,30,15,10.3,-43,-113
363,MITC,AL131998,10,1998,115,30,15,10.7,-32,-141
364,MITC,AL131998,10,1998,125,30,20,15.9,-18,-154
365,MITC,AL131998,10,1998,130,25,15,9.8,-13,-153
366,MITC,AL131998,10,1998,135,15,10,3,-13,-180
367,MITC,AL131998,10,1998,145,5,15,12.7,-4,-179
368,MITC,AL131998,10,1998,155,-10,20,9.4,10,-167
369,MITC,AL131998,10,1998,155,-15,10,10.3,6,-145
370,MITC,AL131998,10,1998,150,-20,-5,7.3,-5,-155
371,MITC,AL131998,10,1998,150,-35,-5,12.3,-7,-203
372,MITC,AL131998,10,1998,145,-50,-5,13.5,-3,-200
373,MITC,AL131998,10,1998,140,-55,-10,14.7,-10,-196
374,MITC,AL131998,10,1998,130,-55,-15,18.6,-22,-152
375,MITC,AL131998,10,1998,115,-45,-25,20.3,-39,-108
376,MITC,AL131998,10,1998,95,-35,-35,17.3,-53,-84
377,MITC,AL131998,10,1998,85,-30,-30,5.6,-65,-79
378,MITC,AL131998,10,1998,75,-25,-20,11.2,-77,-64
379,MITC,AL131998,10,1998,70,-25,-15,11.2,-83,-47
380,MITC,AL131998,10,1998,60,-15,-15,13.8,-86,-32
381,MITC,AL131998,10,1998,55,-10,9999,13.3,-91,-69
382,MITC,AL131998,10,1998,50,-10,9999,7.3,-100,-29
383,MITC,AL131998,10,1998,45,-10,9999,6,-104,-65
384,MITC,AL131998,10,1998,45,-15,9999,8,-99,-43
385,MITC,AL131998,10,1998,45,-15,9999,4.4,-97,-41
386,MITC,AL131998,10,1998,40,-15,9999,5.4,-107,-65
387,MITC,AL131998,10,1998,35,-10,9999,6.6,-118,-18
388,MITC,AL131998,10,1998,30,-5,9999,4.6,-117,-9
389,MITC,AL131998,11,1998,30,9999,9999,3.1,-116,-37
390,MITC,AL131998,11,1998,25,9999,9999,2.9,-124,15
391,MITC,AL131998,11,1998,25,9999,9999,2.5,-126,64
392,MITC,AL131998,11,1998,25,9999,9999,2.9,-113,79
393,MITC,AL131998,11,1998,40,0,9999,21.4,-85,-16
394,MITC,AL131998,11,1998,35,10,9999,20.3,-94,-23
395,MITC,AL131998,11,1998,30,20,9999,20.7,-107,22
396,MITC,AL131998,11,1998,40,15,9999,15.8,-103,20
397,MITC,AL131998,11,1998,40,9999,9999,27.7,-90,11
398,MITC,AL131998,11,1998,45,9999,5,28.6,-71,2
399,MITC,AL131998,11,1998,50,9999,10,31.7,-55,-71
400,MITC,AL131998,11,1998,55,9999,9999,35.9,-45,25
401,NICO,AL141998,11,1998,30,30,9999,22,-93,113
402,NICO,AL141998,11,1998,35,25,9999,30.4,-90,60
403,NICO,AL141998,11,1998,45,10,15,36.1,-79,89
404,NICO,AL141998,11,1998,60,-10,25,45.6,-62,99
405,NICO,AL141998,11,1998,60,-20,15,50.6,-61,121
406,NICO,AL141998,11,1998,60,-25,0,56,-60,135
407,NICO,AL141998,11,1998,55,-25,-5,62.6,-56,146
408,NICO,AL141998,11,1998,50,-25,-10,67.7,-60,168
409,NICO,AL141998,11,1998,40,-15,-15,70.2,-73,142
410,NICO,AL141998,11,1998,35,-10,-15,70.4,-79,153
411,NICO,AL141998,11,1998,30,0,-10,69.7,-83,84
412,NICO,AL141998,11,1998,25,15,-10,65.7,-93,-21
413,NICO,AL141998,11,1998,25,25,-5,47.2,-100,-39
414,NICO,AL141998,11,1998,25,25,0,38.2,-106,10
415,NICO,AL141998,11,1998,30,20,5,35.3,-102,65
416,NICO,AL141998,11,1998,40,10,15,27.1,-91,64
417,NICO,AL141998,11,1998,50,-5,20,27.8,-79,84
418,NICO,AL141998,11,1998,50,-5,10,29.6,-79,65
419,NICO,AL141998,11,1998,50,5,0,33,-80,92
